cost_id,airfare,other_transport,lodging,meals,other_expenses,total,ref_id
2276,879.43,726.6,158.98,621.59,767.29,3153.89,276
2277,828.25,253.91,811.58,393.68,326.99,2614.41,277
2278,1190.86,359.36,344.73,394.25,824.13,3113.33,278
2279,971.13,339.57,534.83,71.15,248.46,2165.14,279
2280,971.13,267.25,534.83,20.6,360.93,2154.74,280
2281,971.13,315.28,534.83,91.5,938.89,2851.63,281
2282,971.13,563.09,534.83,20.6,629.11,2718.76,282
2283,971.13,440.71,534.83,20.6,362.16,2329.43,283
2284,1278.66,32,50,112.1,244.16,1716.92,284
2285,1210.74,70.25,269.12,197.25,141.8,1889.16,285
2286,894.55,163.15,630.99,353.05,958.66,3000.4,286
2287,971.13,324.3,177.31,183.55,757.19,2413.48,287
2288,811.86,235.12,154.7,226.5,553.05,1981.23,288
2289,1095.53,304.61,553.43,884.65,281.45,3119.67,289
2290,817.28,237.17,151.17,205.15,904.49,2315.26,290
2291,721.22,193.16,491.24,292.85,754.61,2453.08,291
2292,651.37,279.34,594.72,342.4,254.26,2122.09,292
2293,1504.7,205.31,334.56,347.25,127.34,2519.16,293
2294,1818.5,691.09,900.59,463,92.22,3965.4,294
2295,986.9,182.9,141.55,231.5,955.43,2498.28,295
2296,971.13,665.2,404.27,231.5,374.01,2646.11,296
2297,698.64,278.92,443.4,468.95,657.23,2547.14,297
2298,971.13,336.6,369.75,270.95,96.14,2044.57,298
2299,971.13,41.25,534.83,22.15,476.65,2046.01,299
2300,1633.64,108.7,534.83,98.45,981.42,3357.04,300
2301,971.13,296.04,783.04,259.4,395.12,2704.73,301
2302,971.13,49.68,534.83,346.79,875.98,2778.41,302
2303,780.54,50,371.32,270.7,504.36,1976.92,303
2304,12175.56,592.46,996.34,731.55,810.17,15306.08,304
2305,1668.11,202.11,400.4,422.29,825.74,3518.65,305
2306,971.13,671.27,534.83,418.95,567.94,3164.12,306
2307,670.23,106.34,534.83,396.8,360.11,2068.31,307
2308,822.12,283.29,1067.43,418.7,927.02,3518.56,308
2309,770.06,729.51,466.86,231.5,275.01,2472.94,309
2310,579.53,231.13,534.83,396.8,241.35,1983.64,310
2311,693.66,135,534.83,396.8,715.73,2476.02,311
2312,591.5,246.49,534.83,250,612.77,2235.59,312
2313,331.07,180.2,50,119.75,991.87,1672.89,313
2314,1345.32,239.97,419.42,233.75,13.33,2251.79,314
2315,279.39,13,1067.43,320.25,750.66,2430.73,315
2316,971.13,393.23,534.83,307.4,571.89,2778.48,316
2317,971.13,48.29,534.83,307.4,305.07,2166.72,317
2318,1454.37,222.54,340.58,359.25,975.23,3351.97,318
2319,964.17,227.76,534.83,387.05,813.46,2927.27,319
2320,872.73,139.48,534.83,440.85,539.66,2527.55,320
2321,894.34,182.47,850.12,529.6,495.79,2952.32,321
2322,750.83,288.89,538.24,313.4,820.72,2712.08,322
2323,2395.31,160.18,321.32,376.55,531.41,3784.77,323
2324,971.13,137.96,534.83,346.79,858.19,2848.9,324
2325,971.13,133.08,534.83,346.79,90.14,2075.97,325
2326,875.58,234.35,538.24,313.4,505.55,2467.12,326
2327,971.13,261.37,177.31,159.85,435.42,2005.08,327
2328,971.13,68.44,534.83,346.79,218.06,2139.25,328
2329,706.76,262.27,701.58,359.25,911.85,2941.71,329
2330,837.71,182.14,948.39,387.05,272.9,2628.19,330
2331,1411.92,78.14,772.11,409.85,558.5,3230.52,331
2332,971.13,90,534.83,364,155.68,2115.64,332
2333,604.21,138.92,948.39,387.05,502.42,2580.99,333
2334,1098.63,333.04,1264.52,449.95,849.72,3995.86,334
2335,765.29,215,948.39,307.4,110.28,2346.36,335
2336,480.53,126.29,948.39,307.4,709.43,2572.04,336
2337,971.13,35.74,534.83,346.79,123.25,2011.74,337
2338,971.13,309.6,206.47,193.65,295.4,1976.25,338
2339,971.13,310.8,194.57,137.05,449.42,2062.97,339
2340,971.13,56.84,1067.43,298.1,135.45,2528.95,340
2341,971.13,301.32,534.83,119.75,547.91,2474.94,341
2342,1579.6,123.75,1123.48,529.6,557.03,3913.46,342
2343,284.78,218.6,1067.43,352.5,535.81,2459.12,343
2344,971.13,155.92,534.83,56.6,828.57,2547.05,344
2345,1499.26,124.43,716.53,561.68,987.8,3889.7,345
2346,1417.51,528.4,796.2,643.4,507.6,3893.11,346
2347,971.13,645.3,194.33,99.8,132.62,2043.18,347
2348,971.13,734.44,842.61,307.4,546.07,3401.65,348
2349,745.3,515.97,1266.32,569.5,944.88,4041.97,349
2350,949.52,139.53,1992.5,521.7,563.45,4166.7,350
2351,971.13,110.63,534.83,346.79,565.79,2529.17,351
2352,971.13,204.22,503,199.3,176.6,2054.25,352
2353,971.13,373.15,226.08,188.2,686.3,2444.86,353
2354,971.13,713.23,1844.23,881.1,945.02,5354.71,354
