City_id,Latitude,Longitude
1,43.65107,-79.347015
2,45.508888,-73.561668
3,51.04427,-114.062019
4,45.424721,-75.695
5,53.631611,-113.323975
6,44.65107,-63.582687
7,49.246292,-123.116226
8,43.452969,-80.495064
9,49.895077,-97.138451
10,50.44521,-104.618896
